VCD info: dumpfile waves/dump.vcd opened for output.
en = 1 | areset_n = 1 | out = 0110
en = 1 | areset_n = 1 | out = 0101
en = 1 | areset_n = 1 | out = 0100
en = 1 | areset_n = 1 | out = 0011
en = 1 | areset_n = 1 | out = 0010
en = 1 | areset_n = 1 | out = 0001
en = 1 | areset_n = 1 | out = 0000
en = 1 | areset_n = 1 | out = 0110
en = 1 | areset_n = 1 | out = 0101
en = 1 | areset_n = 1 | out = 0100
en = 1 | areset_n = 1 | out = 0011
en = 1 | areset_n = 1 | out = 0010
en = 1 | areset_n = 1 | out = 0001
en = 1 | areset_n = 1 | out = 0000
en = 1 | areset_n = 1 | out = 0110
en = 1 | areset_n = 1 | out = 0101
en = 1 | areset_n = 1 | out = 0100
en = 1 | areset_n = 1 | out = 0011
en = 1 | areset_n = 1 | out = 0010
en = 1 | areset_n = 1 | out = 0001
en = 1 | areset_n = 1 | out = 0000
en = 1 | areset_n = 1 | out = 0110
en = 1 | areset_n = 1 | out = 0101
en = 1 | areset_n = 1 | out = 0100
en = 1 | areset_n = 1 | out = 0011
en = 1 | areset_n = 1 | out = 0010
en = 1 | areset_n = 1 | out = 0001
en = 1 | areset_n = 1 | out = 0000
en = 1 | areset_n = 1 | out = 0110
en = 1 | areset_n = 1 | out = 0101
tb/tb_mod_10.v:45: $finish called at 340000 (1ps)
